"범죄별(1)",범죄별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"범죄별(1)",범죄별(2),계,계,계,계,계,계,계,계,계,계,계,계,계,계
"범죄별(1)",범죄별(2),소계,아파트 연립다세대,단독주택,노상,상점,숙박업소 목욕탕,유흥접객업소,사무실,역 대합실,교통수단,유원지,학교,금융기관,기타
"계",소계,90399,9781,7906,29320,10556,980,5939,1630,1073,2897,962,428,648,18279
"계",살인,104,30,26,17,2,-,5,5,2,1,1,-,-,15
"계",강도,117,12,11,39,16,2,6,5,1,2,-,-,1,22
"계",강간강제추행,5816,551,578,950,191,277,679,152,178,829,68,47,4,1312
"계",절도,37579,2886,1579,11442,8991,337,1684,420,348,1007,487,189,578,7631
"계",폭력,46783,6302,5712,16872,1356,364,3565,1048,544,1058,406,192,65,9299
