"종로구","창신3동",계,6606,154,181,208,255,380,551,496,439,429,424,637,582,617,444,268,218,191,92,35,5,-
"종로구","창신3동",한국인,6449,150,176,205,252,338,520,480,426,414,417,629,577,615,443,267,218,190,92,35,5,-
"종로구","창신3동",외국인,157,4,5,3,3,42,31,16,13,15,7,8,5,2,1,1,-,1,-,-,-,-
"종로구","숭인1동",계,6057,90,135,158,204,349,473,455,400,408,481,581,560,551,391,308,216,183,75,31,7,1
"종로구","숭인1동",한국인,5769,84,126,156,198,295,433,424,370,388,455,553,540,541,386,307,216,183,75,31,7,1
"종로구","숭인1동",외국인,288,6,9,2,6,54,40,31,30,20,26,28,20,10,5,1,-,-,-,-,-,-
"종로구","숭인2동",계,10509,111,124,143,207,1063,1705,1221,671,576,586,816,801,762,635,414,304,242,87,34,7,-
"종로구","숭인2동",한국인,9807,105,120,136,184,815,1540,1149,624,554,573,789,762,747,624,411,304,242,87,34,7,-
"종로구","숭인2동",외국인,702,6,4,7,23,248,165,72,47,22,13,27,39,15,11,3,-,-,-,-,-,-
"종로구","청운효자동",계,11818,251,440,549,567,666,804,812,783,1042,1031,1042,876,801,618,474,449,357,184,53,16,3
"종로구","청운효자동",한국인,11628,245,434,542,565,662,787,799,765,1008,1010,1029,859,786,611,467,448,355,184,53,16,3
"종로구","청운효자동",외국인,190,6,6,7,2,4,17,13,18,34,21,13,17,15,7,7,1,2,-,-,-,-
"종로구","혜화동",계,19392,209,364,531,1026,4172,2853,1314,887,1015,1053,1314,1035,937,748,569,553,471,232,86,21,2
"종로구","혜화동",한국인,16143,197,358,527,750,2223,2160,1172,826,979,1036,1294,1022,924,744,567,553,471,232,85,21,2
"종로구","혜화동",외국인,3249,12,6,4,276,1949,693,142,61,36,17,20,13,13,4,2,-,-,-,1,-,-
"중구","소계",계,130785,3011,3454,3166,3785,9047,12365,11790,10046,9528,8586,10678,10023,10251,8401,5809,4587,3617,1784,670,157,30
"중구","소계",한국인,120437,2789,3175,2937,3385,6934,10685,10746,9115,8801,7967,10031,9365,9847,8184,5708,4553,3591,1773,666,157,28
"중구","소계",외국인,10348,222,279,229,400,2113,1680,1044,931,727,619,647,658,404,217,101,34,26,11,4,-,2
"중구","소공동",계,3578,122,160,153,128,123,239,370,409,456,366,315,226,193,145,77,42,34,12,4,3,1
"중구","소공동",한국인,2244,67,93,63,61,83,170,261,227,301,210,183,140,127,110,63,38,29,11,4,3,-
"중구","소공동",외국인,1334,55,67,90,67,40,69,109,182,155,156,132,86,66,35,14,4,5,1,-,-,1
